system_id,round,task,cluster_id,cluster_class,cluster_rank,latency_us,energy_uj
0.5-464,v0.5,KWS,3,C5,5,181917.0,7373.7
0.5-464,v0.5,AD,3,C5,5,10400.0,416.312
0.5-464,v0.5,VWW,3,C5,5,603136.0,24320.8
0.5-464,v0.5,IC,3,C5,5,704225.0,29207.0
0.5-465,v0.5,KWS,1,C3,3,325630.0,
0.5-465,v0.5,AD,1,C3,3,13650.0,
0.5-465,v0.5,VWW,1,C3,3,846740.0,
0.5-465,v0.5,IC,1,C3,3,1239160.0,
0.5-466,v0.5,KWS,1,C3,3,393.23,
0.5-466,v0.5,AD,1,C3,3,168.549,
0.5-466,v0.5,VWW,1,C3,3,3745.4700000000003,
0.5-466,v0.5,IC,1,C3,3,1312.35,
0.5-467,v0.5,KWS,1,C3,3,421.47,
0.5-467,v0.5,AD,1,C3,3,192.092,
0.5-467,v0.5,VWW,1,C3,3,2599.2999999999997,
0.5-467,v0.5,IC,1,C3,3,1071.49,
0.5-468,v0.5,KWS,0,C2,2,5950.0,
0.7-2001,v0.7,KWS,0,C2,2,79850.0,
0.7-2001,v0.7,AD,0,C2,2,16800.0,
0.7-2001,v0.7,VWW,0,C2,2,296380.0,
0.7-2001,v0.7,IC,0,C2,2,304690.0,
0.7-2002,v0.7,KWS,0,C2,2,68310.0,
0.7-2002,v0.7,AD,0,C2,2,12130.0,
0.7-2002,v0.7,VWW,0,C2,2,225580.0,
0.7-2002,v0.7,IC,0,C2,2,227690.0,
0.7-2003,v0.7,AD,0,C2,2,4090.0,
0.7-2004,v0.7,KWS,3,C5,5,73500.0,
0.7-2004,v0.7,AD,3,C5,5,5900.0,
0.7-2004,v0.7,VWW,3,C5,5,220400.0,
0.7-2004,v0.7,IC,3,C5,5,184600.0,
0.7-2005,v0.7,KWS,3,C5,5,63600.0,
0.7-2005,v0.7,AD,3,C5,5,6800.0,
0.7-2005,v0.7,VWW,3,C5,5,200000.0,
0.7-2005,v0.7,IC,3,C5,5,202800.0,
0.7-2006,v0.7,KWS,3,C5,5,19500.0,
0.7-2006,v0.7,AD,3,C5,5,2400.0,
0.7-2006,v0.7,VWW,3,C5,5,59400.0,
0.7-2006,v0.7,IC,3,C5,5,65099.99999999999,
0.7-2007,v0.7,KWS,3,C5,5,50571.5,3796.96
0.7-2007,v0.7,AD,3,C5,5,4613.139999999999,324.088
0.7-2007,v0.7,VWW,3,C5,5,162364.0,11851.8
0.7-2007,v0.7,IC,3,C5,5,246184.0,17723.8
0.7-2008,v0.7,KWS,1,C3,3,81846.5,4422.68
0.7-2008,v0.7,AD,1,C3,3,8553.73,437.442
0.7-2008,v0.7,VWW,1,C3,3,248509.0,13316.4
0.7-2008,v0.7,IC,1,C3,3,289352.0,14350.9
0.7-2009,v0.7,KWS,3,C5,5,97646.0,4635.68
0.7-2009,v0.7,AD,3,C5,5,9665.0,431.21
0.7-2009,v0.7,VWW,3,C5,5,254647.0,12293.3
0.7-2009,v0.7,IC,3,C5,5,252780.0,12298.3
0.7-2010,v0.7,KWS,3,C5,5,54812.0,1482.4
0.7-2010,v0.7,AD,3,C5,5,5728.0,152.56
0.7-2010,v0.7,VWW,3,C5,5,151630.0,4030.97
0.7-2010,v0.7,IC,3,C5,5,158127.0,4151.13
0.7-2011,v0.7,KWS,3,C5,5,22290.0,3713.19
0.7-2011,v0.7,AD,3,C5,5,2281.0,349.03
0.7-2011,v0.7,VWW,3,C5,5,64370.00000000001,10487.7
0.7-2011,v0.7,IC,3,C5,5,70363.0,11200.2
0.7-2012,v0.7,KWS,0,C2,2,1800.0,49.587
0.7-2013,v0.7,KWS,0,C2,2,4300.0,35.286
0.7-2014,v0.7,KWS,0,C2,2,63090.0,611.493
0.7-2014,v0.7,AD,0,C2,2,5410.0,45.722
0.7-2014,v0.7,VWW,0,C2,2,186190.0,1721.77
0.7-2014,v0.7,IC,0,C2,2,239980.0,2248.02
1.0-9001,v1.0,KWS,0,C2,2,475.0,26.659
1.0-9001,v1.0,AD,0,C2,2,176.0,7.294
1.0-9001,v1.0,VWW,0,C2,2,1125.0,58.356
1.0-9001,v1.0,IC,0,C2,2,616.0,40.356
1.0-9002,v1.0,KWS,0,C2,2,732.0,18.561
1.0-9002,v1.0,AD,0,C2,2,271.0,5.252
1.0-9002,v1.0,VWW,0,C2,2,1733.0,40.801
1.0-9002,v1.0,IC,0,C2,2,949.0,27.711
1.0-9003,v1.0,KWS,3,C5,5,76100.0,
1.0-9003,v1.0,AD,3,C5,5,6270.0,
1.0-9003,v1.0,VWW,3,C5,5,232000.0,
1.0-9003,v1.0,IC,3,C5,5,316100.0,
1.0-9004,v1.0,KWS,3,C5,5,99800.0,5230.27
1.0-9004,v1.0,AD,3,C5,5,8600.0,443.184
1.0-9004,v1.0,VWW,3,C5,5,301200.0,15531.4
1.0-9004,v1.0,IC,3,C5,5,389500.0,20236.3
1.0-9005,v1.0,KWS,3,C5,5,144000.0,7950.51
1.0-9005,v1.0,AD,3,C5,5,11700.0,633.734
1.0-9005,v1.0,VWW,3,C5,5,336500.0,17131.6
1.0-9005,v1.0,IC,3,C5,5,389200.0,21342.3
1.0-9006,v1.0,KWS,3,C5,5,35400.0,
1.0-9006,v1.0,AD,3,C5,5,4900.0,
1.0-9006,v1.0,VWW,3,C5,5,107000.0,
1.0-9006,v1.0,IC,3,C5,5,107100.0,
1.0-9007,v1.0,KWS,3,C5,5,61400.0,
1.0-9007,v1.0,AD,3,C5,5,6700.0,
1.0-9007,v1.0,VWW,3,C5,5,192500.0,
1.0-9007,v1.0,IC,3,C5,5,193100.0,
1.0-9008,v1.0,KWS,3,C5,5,19100.0,
1.0-9008,v1.0,AD,3,C5,5,2300.0,
1.0-9008,v1.0,VWW,3,C5,5,57000.0,
1.0-9008,v1.0,IC,3,C5,5,64800.0,
1.0-9009,v1.0,KWS,3,C5,5,71700.0,
1.0-9009,v1.0,AD,3,C5,5,5600.0,
1.0-9009,v1.0,VWW,3,C5,5,208600.0,
1.0-9009,v1.0,IC,3,C5,5,173200.0,
1.0-9010,v1.0,KWS,0,C2,2,36280.0,401.861
1.0-9010,v1.0,AD,0,C2,2,5430.0,47.299
1.0-9010,v1.0,VWW,0,C2,2,111610.0,1139.22
1.0-9010,v1.0,IC,0,C2,2,120930.0,1234.65
1.0-9011,v1.0,KWS,3,C5,5,16760.0,2721.78
1.0-9011,v1.0,AD,3,C5,5,1820.0,266.486
1.0-9011,v1.0,VWW,3,C5,5,50700.0,7978.47
1.0-9011,v1.0,IC,3,C5,5,54340.0,8707.28
1.0-9012,v1.0,KWS,3,C5,5,75050.0,3371.74
1.0-9012,v1.0,AD,3,C5,5,7570.0,322.977
1.0-9012,v1.0,VWW,3,C5,5,230480.0,10066.6
1.0-9012,v1.0,IC,3,C5,5,226900.0,10681.6
1.0-9013,v1.0,KWS,3,C5,5,44230.0,1138.53
1.0-9013,v1.0,AD,3,C5,5,4840.0,119.113
1.0-9013,v1.0,VWW,3,C5,5,133410.0,3364.46
1.0-9013,v1.0,IC,3,C5,5,139700.0,3642.0
1.0-9014,v1.0,KWS,0,C2,2,1480.0,43.8
1.0-9014,v1.0,VWW,0,C2,2,4100.0,97.16
1.0-9014,v1.0,IC,0,C2,2,5120.0,139.37
1.0-9015,v1.0,KWS,0,C2,2,4370.0,31.54
1.0-9015,v1.0,VWW,0,C2,2,12700.0,71.71
1.0-9015,v1.0,IC,0,C2,2,15970.0,101.83
1.0-9016,v1.0,AD,0,C2,2,98.0,
1.1-0001,v1.1,KWS,5,C4,4,16725.8,2367.47
1.1-0001,v1.1,AD,5,C4,4,1828.1499999999999,
1.1-0001,v1.1,VWW,5,C4,4,50408.299999999996,7810.7
1.1-0001,v1.1,IC,5,C4,4,53838.700000000004,8471.1
1.1-0001,v1.1,KWS,5,C4,4,16400.0,2362.1
1.1-0001,v1.1,AD,5,C4,4,1800.0,235.8
1.1-0001,v1.1,VWW,5,C4,4,50300.0,6928.3
1.1-0001,v1.1,IC,5,C4,4,54900.0,7615.4
1.1-0002,v1.1,KWS,2,C6,6,99810.4,
1.1-0002,v1.1,AD,2,C6,6,8604.960000000001,
1.1-0002,v1.1,VWW,2,C6,6,300842.0,
1.1-0002,v1.1,IC,2,C6,6,389560.0,
1.1-0002,v1.1,KWS,2,C6,6,144000.0,
1.1-0002,v1.1,AD,2,C6,6,11700.0,
1.1-0002,v1.1,VWW,2,C6,6,338900.0,
1.1-0002,v1.1,IC,2,C6,6,389100.0,
1.1-0002,v1.1,KWS,2,C6,6,74700.0,5627.5
1.1-0002,v1.1,AD,2,C6,6,7600.0,529.3
1.1-0002,v1.1,VWW,2,C6,6,224900.0,16536.3
1.1-0002,v1.1,IC,2,C6,6,226900.0,17755.4
1.1-0002,v1.1,KWS,2,C6,6,72700.0,5481.6
1.1-0002,v1.1,AD,2,C6,6,7600.0,528.9
1.1-0002,v1.1,VWW,2,C6,6,221100.0,16573.1
1.1-0002,v1.1,IC,2,C6,6,222000.0,17315.1
1.1-0003,v1.1,KWS,2,C6,6,76487.7,
1.1-0003,v1.1,AD,2,C6,6,6288.52,
1.1-0003,v1.1,VWW,2,C6,6,233318.0,
1.1-0003,v1.1,IC,2,C6,6,317864.0,
1.1-0004,v1.1,KWS,5,C4,4,46185.1,
1.1-0004,v1.1,AD,5,C4,4,4886.75,
1.1-0004,v1.1,VWW,5,C4,4,98726.4,
1.1-0004,v1.1,IC,5,C4,4,171438.0,
1.1-0005,v1.1,KWS,5,C4,4,15353.199999999999,1869.38
1.1-0005,v1.1,AD,5,C4,4,1818.27,221.217
1.1-0005,v1.1,VWW,5,C4,4,29628.8,3699.35
1.1-0005,v1.1,IC,5,C4,4,51948.1,6310.69
1.1-0006,v1.1,KWS,2,C6,6,62873.3,2833.14
1.1-0006,v1.1,AD,2,C6,6,6857.35,293.912
1.1-0006,v1.1,VWW,2,C6,6,118694.0,5618.28
1.1-0006,v1.1,IC,2,C6,6,213995.0,7019.09
1.1-0007,v1.1,KWS,2,C6,6,38580.2,1004.22
1.1-0007,v1.1,AD,2,C6,6,4849.87,121.446
1.1-0007,v1.1,VWW,2,C6,6,71561.5,1920.64
1.1-0007,v1.1,IC,2,C6,6,128205.00000000001,3383.82
1.1-0008,v1.1,KWS,2,C6,6,82000.8,3454.85
1.1-0008,v1.1,AD,2,C6,6,8072.65,334.536
1.1-0008,v1.1,VWW,2,C6,6,172176.0,7477.62
1.1-0008,v1.1,IC,2,C6,6,298686.0,12684.3
1.1-0008,v1.1,KWS,2,C6,6,93600.0,4747.9
1.1-0008,v1.1,AD,2,C6,6,8000.0,409.7
1.1-0008,v1.1,VWW,2,C6,6,197800.0,10412.8
1.1-0008,v1.1,IC,2,C6,6,296600.0,14927.3
1.1-0009,v1.1,KWS,2,C6,6,99840.3,
1.1-0009,v1.1,IC,2,C6,6,389560.0,
1.1-0009,v1.1,KWS,2,C6,6,144000.0,
1.1-0009,v1.1,IC,2,C6,6,389100.0,
1.1-0010,v1.1,KWS,4,C1,1,4211.22,
1.1-0011,v1.1,VWW,4,C1,1,720.308,
1.1-0011,v1.1,IC,4,C1,1,147.285,
1.1-0012,v1.1,KWS,4,C1,1,323.846,
1.1-0012,v1.1,VWW,4,C1,1,9486.59,
1.1-0012,v1.1,IC,4,C1,1,411.28,
1.1-0013,v1.1,KWS,4,C1,1,2151.05,
1.1-0013,v1.1,IC,4,C1,1,3149.5899999999997,
1.1-0014,v1.1,KWS,2,C6,6,54062.8,
1.1-0014,v1.1,AD,2,C6,6,4455.219999999999,
1.1-0014,v1.1,VWW,2,C6,6,108295.0,
1.1-0014,v1.1,IC,2,C6,6,188964.0,
1.1-0015,v1.1,KWS,5,C4,4,17749.1,
1.1-0015,v1.1,AD,5,C4,4,1708.81,
1.1-0015,v1.1,VWW,5,C4,4,34079.700000000004,
1.1-0015,v1.1,IC,5,C4,4,62877.299999999996,
1.1-0016,v1.1,KWS,2,C6,6,47780.6,
1.1-0016,v1.1,AD,2,C6,6,4051.63,
1.1-0016,v1.1,VWW,2,C6,6,98755.70000000001,
1.1-0016,v1.1,IC,2,C6,6,167757.0,
1.1-0017,v1.1,KWS,5,C4,4,13861.7,
1.1-0017,v1.1,AD,5,C4,4,1347.71,
1.1-0017,v1.1,VWW,5,C4,4,26816.8,
1.1-0017,v1.1,IC,5,C4,4,50926.9,
1.1-0018,v1.1,KWS,2,C6,6,30042.7,
1.1-0018,v1.1,AD,2,C6,6,3671.92,
1.1-0018,v1.1,VWW,2,C6,6,59491.9,
1.1-0018,v1.1,IC,2,C6,6,104286.0,
1.1-0019,v1.1,KWS,0,C2,2,4367.16,31.537
1.1-0019,v1.1,VWW,0,C2,2,12722.6,71.711
1.1-0019,v1.1,IC,0,C2,2,15975.0,101.833
1.1-0019,v1.1,KWS,0,C2,2,1500.0,43.802
1.1-0019,v1.1,VWW,0,C2,2,4100.0,97.164
1.1-0019,v1.1,IC,0,C2,2,5100.0,139.367
1.1-0020,v1.1,KWS,5,C4,4,18418.600000000002,
1.1-0020,v1.1,AD,5,C4,4,1702.61,
1.1-0020,v1.1,VWW,5,C4,4,57180.0,
1.1-0020,v1.1,IC,5,C4,4,61568.8,
1.1-0021,v1.1,KWS,2,C6,6,679348.0,
1.1-0021,v1.1,AD,2,C6,6,46546.3,
1.1-0021,v1.1,VWW,2,C6,6,1869160.0,
1.1-0021,v1.1,IC,2,C6,6,1669450.0,
1.1-0022,v1.1,KWS,5,C4,4,14715.400000000001,
1.1-0022,v1.1,AD,5,C4,4,1356.33,
1.1-0022,v1.1,VWW,5,C4,4,43660.0,
1.1-0022,v1.1,IC,5,C4,4,46831.8,
1.1-0023,v1.1,KWS,2,C6,6,62680.2,
1.1-0023,v1.1,AD,2,C6,6,5659.34,
1.1-0023,v1.1,VWW,2,C6,6,180730.0,
1.1-0023,v1.1,IC,2,C6,6,179019.0,
1.1-0024,v1.1,KWS,2,C6,6,39736.2,
1.1-0024,v1.1,AD,2,C6,6,3802.3799999999997,
1.1-0024,v1.1,VWW,2,C6,6,114740.0,
1.1-0024,v1.1,IC,2,C6,6,117744.0,
1.1-0025,v1.1,VWW,0,C2,2,370.0,
1.2-0001,v1.2,AD,1,C3,3,16780.0,
1.2-0001,v1.2,VWW,1,C3,3,360620.0,
1.2-0001,v1.2,IC,1,C3,3,479850.0,
1.2-0001,v1.2,KWS,1,C3,3,54150.0,
1.2-0001,v1.2,AD,1,C3,3,5970.0,
1.2-0001,v1.2,VWW,1,C3,3,154680.0,
1.2-0001,v1.2,IC,1,C3,3,162210.0,
1.2-0001,v1.2,AD,1,C3,3,4930.0,
1.2-0002,v1.2,KWS,1,C3,3,18960.0,
1.2-0002,v1.2,AD,1,C3,3,1710.0,
1.2-0002,v1.2,VWW,1,C3,3,57250.0,
1.2-0002,v1.2,IC,1,C3,3,62550.0,
1.2-0002,v1.2,AD,1,C3,3,1420.0,
1.2-0003,v1.2,KWS,1,C3,3,474610.0,
1.2-0003,v1.2,AD,1,C3,3,40890.0,
1.2-0003,v1.2,VWW,1,C3,3,1414430.0,
1.2-0003,v1.2,IC,1,C3,3,1522070.0,
1.2-0004,v1.2,AD,1,C3,3,5230.0,
1.2-0004,v1.2,VWW,1,C3,3,81420.0,
1.2-0004,v1.2,IC,1,C3,3,124220.0,
1.2-0004,v1.2,KWS,1,C3,3,14690.0,
1.2-0004,v1.2,AD,1,C3,3,1360.0,
1.2-0004,v1.2,VWW,1,C3,3,43760.0,
1.2-0004,v1.2,IC,1,C3,3,45850.0,
1.2-0004,v1.2,AD,1,C3,3,1080.0,
1.2-0004,v1.2,IC,1,C3,3,84510.0,
1.2-0005,v1.2,KWS,1,C3,3,60160.0,
1.2-0005,v1.2,AD,1,C3,3,5840.0,
1.2-0005,v1.2,VWW,1,C3,3,180510.0,
1.2-0005,v1.2,IC,1,C3,3,180540.0,
1.2-0005,v1.2,AD,1,C3,3,4730.0,
1.2-0006,v1.2,KWS,1,C3,3,38580.0,
1.2-0006,v1.2,AD,1,C3,3,3800.0,
1.2-0006,v1.2,VWW,1,C3,3,119830.0,
1.2-0006,v1.2,IC,1,C3,3,120540.0,
1.2-0006,v1.2,AD,1,C3,3,3090.0,
1.2-0007,v1.2,AD,1,C3,3,6180.0,
1.2-0007,v1.2,IC,1,C3,3,222470.0,
1.2-0007,v1.2,KWS,1,C3,3,63650.0,
1.2-0007,v1.2,AD,1,C3,3,7440.0,
1.2-0007,v1.2,IC,1,C3,3,232880.0,
1.2-0007,v1.2,AD,1,C3,3,5640.0,
1.2-0008,v1.2,KWS,0,C2,2,90.0,
1.2-0008,v1.2,AD,0,C2,2,70.0,
1.2-0008,v1.2,VWW,0,C2,2,190.0,
1.2-0008,v1.2,IC,0,C2,2,150.0,
1.2-0009,v1.2,KWS,1,C3,3,3460.0,
1.2-0009,v1.2,AD,1,C3,3,530.0,
1.2-0009,v1.2,VWW,1,C3,3,13390.0,
1.2-0009,v1.2,IC,1,C3,3,8480.0,
1.2-0010,v1.2,AD,1,C3,3,370.0,
1.2-0010,v1.2,IC,1,C3,3,33370.0,
1.2-0011,v1.2,KWS,5,C4,4,11320.0,1375.6
1.2-0011,v1.2,AD,5,C4,4,1230.0,165.73
1.2-0011,v1.2,VWW,5,C4,4,23800.0,2965.46
1.2-0011,v1.2,IC,5,C4,4,40840.0,5090.28
1.2-0012,v1.2,KWS,2,C6,6,43190.0,1820.45
1.2-0012,v1.2,AD,2,C6,6,5260.0,203.37
1.2-0012,v1.2,VWW,2,C6,6,88930.0,3894.57
1.2-0012,v1.2,IC,2,C6,6,165130.0,6919.38
1.2-0013,v1.2,KWS,2,C6,6,29060.0,656.16
1.2-0013,v1.2,AD,2,C6,6,3430.0,81.88
1.2-0013,v1.2,VWW,2,C6,6,59280.0,1354.69
1.2-0013,v1.2,IC,2,C6,6,111070.0,2578.97
1.2-0014,v1.2,KWS,0,C2,2,4370.0,31.54
1.2-0014,v1.2,VWW,0,C2,2,12720.0,71.71
1.2-0014,v1.2,IC,0,C2,2,15970.0,101.83
1.2-0014,v1.2,KWS,0,C2,2,1480.0,43.8
1.2-0014,v1.2,VWW,0,C2,2,4100.0,97.16
1.2-0014,v1.2,IC,0,C2,2,5120.0,139.37
1.2-0015,v1.2,VWW,5,C4,4,120280.0,
1.2-0015,v1.2,IC,5,C4,4,108000.0,
1.2-0016,v1.2,VWW,0,C2,2,290.0,
1.3-0002,v1.3,KWS,2,C6,6,43417.9,1430.67
1.3-0002,v1.3,AD,2,C6,6,4793.68,160.423
1.3-0002,v1.3,VWW,2,C6,6,89437.4,3029.75
1.3-0002,v1.3,IC,2,C6,6,165673.0,5495.91
1.3-0003,v1.3,KWS,2,C6,6,48302.2,245.341
1.3-0003,v1.3,AD,2,C6,6,5409.76,31.8347
1.3-0003,v1.3,VWW,2,C6,6,98736.2,518.976
1.3-0003,v1.3,IC,2,C6,6,182448.0,965.582
1.3-0004,v1.3,KWS,2,C6,6,28994.800000000003,664.424
1.3-0004,v1.3,AD,2,C6,6,3209.46,77.2364
1.3-0004,v1.3,VWW,2,C6,6,59266.3,1372.17
1.3-0004,v1.3,IC,2,C6,6,109493.0,2565.24
1.3-0005,v1.3,KWS,0,C2,2,4367.16,31.537
1.3-0005,v1.3,VWW,0,C2,2,12722.6,71.711
1.3-0005,v1.3,IC,0,C2,2,15975.0,101.833
1.3-0005,v1.3,KWS,0,C2,2,1481.43,43.802
1.3-0005,v1.3,VWW,0,C2,2,4100.33,97.164
1.3-0005,v1.3,IC,0,C2,2,5121.95,139.367
1.3-0006,v1.3,KWS,0,C2,2,64.9515,
1.3-0006,v1.3,AD,0,C2,2,68.3762,
1.3-0006,v1.3,VWW,0,C2,2,114.248,
1.3-0006,v1.3,IC,0,C2,2,95.81620000000001,
1.3-0007,v1.3,KWS,0,C2,2,16531.1,
1.3-0007,v1.3,VWW,0,C2,2,37177.5,
1.3-0007,v1.3,IC,0,C2,2,50082.6,
1.3-0008,v1.3,KWS,1,C3,3,1394.1200000000001,
1.3-0008,v1.3,AD,1,C3,3,737.116,
1.3-0008,v1.3,VWW,1,C3,3,4448.46,
1.3-0008,v1.3,IC,1,C3,3,2282.79,
1.3-0009,v1.3,KWS,1,C3,3,576.4789999999999,
1.3-0009,v1.3,AD,1,C3,3,316.20300000000003,
1.3-0009,v1.3,VWW,1,C3,3,2183.08,
1.3-0009,v1.3,IC,1,C3,3,977.251,
1.3-0010,v1.3,VWW,0,C2,2,216.221,
